"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Create exercise","LMS service","2026-07-29","passed","2026-07-29","Create entity","Exercises","",""
"","12","Get file with incorrect file id","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","28","Create course","LMS service","2026-07-29","passed","2026-07-29","Create entity","Courses","",""
"","11","Get user me","LMS service","2026-07-29","passed","2026-07-29","Get entity","Users","",""
"","250","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","10","Get exercise","LMS service","2026-07-29","passed","2026-07-29","Get entity","Exercises","",""
"","485","Login with correct email and password","LMS service","2026-07-29","passed","2026-07-29","Login","Authentication","",""
"","18","Update exercise","LMS service","2026-07-29","passed","2026-07-29","Update entity","Exercises","",""
"","445","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","467","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","99","Delete file","LMS service","2026-07-29","passed","2026-07-29","Delete entity","Files","",""
"","236","Create file","LMS service","2026-07-29","passed","2026-07-29","Create entity","Files","",""
"","243","Create file with empty directory","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","10","Get exercises","LMS service","2026-07-29","passed","2026-07-29","Get entities","Exercises","",""
"","21","Update course","LMS service","2026-07-29","passed","2026-07-29","Update entity","Courses","",""
"","99","Create file with empty filename","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","18","Get courses","LMS service","2026-07-29","passed","2026-07-29","Get entities","Courses","",""
"","19","Delete exercise","LMS service","2026-07-29","passed","2026-07-29","Delete entity","Exercises","",""
"","10","Get file","LMS service","2026-07-29","passed","2026-07-29","Get entity","Files","",""
