"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Create file","LMS service","2026-08-01","passed","2026-08-01","Create entity","Files","",""
"","525","Create user","LMS service","2026-08-01","passed","2026-08-01","Create entity","Users","",""
"","24","Update exercise","LMS service","2026-08-01","passed","2026-08-01","Update entity","Exercises","",""
"","28","Create course","LMS service","2026-08-01","passed","2026-08-01","Create entity","Courses","",""
"","20","Delete exercise","LMS service","2026-08-01","passed","2026-08-01","Delete entity","Exercises","",""
"","15","Get file","LMS service","2026-08-01","passed","2026-08-01","Get entity","Files","",""
"","558","Login with correct email and password","LMS service","2026-08-01","passed","2026-08-01","Login","Authentication","",""
"","509","Create user","LMS service","2026-08-01","passed","2026-08-01","Create entity","Users","",""
"","33","Update course","LMS service","2026-08-01","passed","2026-08-01","Update entity","Courses","",""
"","560","Create user","LMS service","2026-08-01","passed","2026-08-01","Create entity","Users","",""
"","18","Get exercises","LMS service","2026-08-01","passed","2026-08-01","Get entities","Exercises","",""
"","27","Get courses","LMS service","2026-08-01","passed","2026-08-01","Get entities","Courses","",""
"","12","Get user me","LMS service","2026-08-01","passed","2026-08-01","Get entity","Users","",""
"","17","Get exercise","LMS service","2026-08-01","passed","2026-08-01","Get entity","Exercises","",""
"","57","Create file with empty directory","LMS service","2026-08-01","passed","2026-08-01","Validate entity","Files","",""
"","21","Create exercise","LMS service","2026-08-01","passed","2026-08-01","Create entity","Exercises","",""
"","278","Create file with empty filename","LMS service","2026-08-01","passed","2026-08-01","Validate entity","Files","",""
"","19","Delete file","LMS service","2026-08-01","passed","2026-08-01","Delete entity","Files","",""
"","269","Get file with incorrect file id","LMS service","2026-08-01","passed","2026-08-01","Validate entity","Files","",""
