"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Update course","LMS service","2026-07-29","passed","2026-07-29","Update entity","Courses","",""
"","15","Get exercises","LMS service","2026-07-29","passed","2026-07-29","Get entities","Exercises","",""
"","28","Get courses","LMS service","2026-07-29","passed","2026-07-29","Get entities","Courses","",""
"","21","Create exercise","LMS service","2026-07-29","passed","2026-07-29","Create entity","Exercises","",""
"","559","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","534","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","58","Create file","LMS service","2026-07-29","passed","2026-07-29","Create entity","Files","",""
"","61","Create file with empty directory","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-07-29","passed","2026-07-29","Get entity","Users","",""
"","13","Get exercise","LMS service","2026-07-29","passed","2026-07-29","Get entity","Exercises","",""
"","553","Login with correct email and password","LMS service","2026-07-29","passed","2026-07-29","Login","Authentication","",""
"","273","Create file with empty filename","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","20","Delete file","LMS service","2026-07-29","passed","2026-07-29","Delete entity","Files","",""
"","14","Get file","LMS service","2026-07-29","passed","2026-07-29","Get entity","Files","",""
"","29","Create course","LMS service","2026-07-29","passed","2026-07-29","Create entity","Courses","",""
"","18","Delete exercise","LMS service","2026-07-29","passed","2026-07-29","Delete entity","Exercises","",""
"","494","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","20","Update exercise","LMS service","2026-07-29","passed","2026-07-29","Update entity","Exercises","",""
