"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","Login with correct email and password","LMS service","2026-07-29","passed","2026-07-29","Login","Authentication","",""
"","56","Create file with empty filename","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","25","Get courses","LMS service","2026-07-29","passed","2026-07-29","Get entities","Courses","",""
"","16","Get file","LMS service","2026-07-29","passed","2026-07-29","Get entity","Files","",""
"","20","Create exercise","LMS service","2026-07-29","passed","2026-07-29","Create entity","Exercises","",""
"","532","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","278","Create file with empty directory","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","287","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","514","Create user","LMS service","2026-07-29","passed","2026-07-29","Create entity","Users","",""
"","15","Get file with incorrect file id","LMS service","2026-07-29","passed","2026-07-29","Validate entity","Files","",""
"","25","Create course","LMS service","2026-07-29","passed","2026-07-29","Create entity","Courses","",""
"","14","Get exercise","LMS service","2026-07-29","passed","2026-07-29","Get entity","Exercises","",""
"","18","Delete file","LMS service","2026-07-29","passed","2026-07-29","Delete entity","Files","",""
"","26","Update course","LMS service","2026-07-29","passed","2026-07-29","Update entity","Courses","",""
"","21","Update exercise","LMS service","2026-07-29","passed","2026-07-29","Update entity","Exercises","",""
"","274","Create file","LMS service","2026-07-29","passed","2026-07-29","Create entity","Files","",""
"","28","Delete exercise","LMS service","2026-07-29","passed","2026-07-29","Delete entity","Exercises","",""
"","14","Get exercises","LMS service","2026-07-29","passed","2026-07-29","Get entities","Exercises","",""
"","13","Get user me","LMS service","2026-07-29","passed","2026-07-29","Get entity","Users","",""
